"","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$"
"Gabon","87.08","76.41","81.48","84.87","70.04","72.32","75.88","91.70","93.18","86.61","97.02","73.42","165.06","162.48","148.00","125.33","114.34","105.18","96.33","82.36","70.90","75.49"
"Gambia","7.88","7.16","7.24","6.75","6.72","6.74","6.53","6.21","6.66","7.19","7.51","7.75","7.74","8.67","7.21","5.97","5.43","4.78","4.57","6.05","6.22","7.67"
"Georgia","191.74","196.25","180.99","199.13","183.59","196.19","182.17","258.10","262.80","269.02","250.73","217.30","200.93","205.40","156.46","121.65","108.63","86.07","65.54","52.26","44.23","43.19"
"Germany","1388.20","1276.16","1253.02","1253.03","1135.65","1077.03","1065.59","1220.02","1202.87","1170.53","1238.59","1121.06","1138.23","1154.63","1038.84","915.77","865.55","834.04","712.29","569.43","512.22","511.07"
"Ghana","37.05","33.50","35.22","36.73","35.49","31.47","31.09","38.42","45.05","35.37","38.78","24.60","23.90","27.04","24.49","20.75","17.69","14.24","13.55","12.12","10.29","9.80"
"Greece","750.42","768.48","801.89","764.70","719.54","731.60","603.30","711.17","692.25","706.25","797.82","796.91","889.62","984.67","889.75","788.12","757.97","737.58","628.70","462.18","369.71","339.85"
"Grenada","291.70","272.63","285.33","259.15","256.88","235.43","226.01","205.79","240.29","236.63","229.50","222.88","217.17","234.76","211.75","182.77","169.54","149.09","165.91","169.04","163.62","165.40"
"Guatemala","217.88","175.60","169.10","165.58","167.26","149.31","140.96","128.35","117.02","125.45","120.75","111.31","102.38","112.09","103.03","95.43","88.50","78.65","72.57","70.25","65.25","51.56"
"Guinea","26.38","28.20","28.46","25.66","24.82","23.53","30.38","25.49","16.60","15.20","14.81","16.01","17.59","16.69","16.55","11.70","14.08","18.70","16.32","15.04","14.07","15.13"
"Guinea-Bissau","43.32","40.31","39.45","41.22","39.26","38.15","36.63","37.61","31.33","23.88","17.90","15.69","15.92","18.24","13.74","13.09","12.46","11.12","9.48","9.02","9.61","9.04"
"Guyana","146.93","99.34","120.91","109.61","84.23","77.22","83.57","84.78","87.48","85.63","70.61","61.56","53.70","53.29","45.13","37.76","32.63","30.24","28.61","28.62","27.78","27.50"
"Haiti","30.54","25.12","23.23","29.11","28.86","23.66","25.98","22.51","23.68","23.22","21.65","19.97","17.54","16.92","16.23","13.46","12.39","11.83","9.44","11.31","12.95","14.08"
"Honduras","146.02","119.74","106.80","102.37","93.58","97.20","93.89","91.48","93.67","98.24","89.53","81.94","75.41","79.99","66.77","58.95","50.88","44.87","41.38","38.48","37.25","33.15"
"Hungary","383.81","346.30","333.94","332.55","310.68","295.18","280.44","334.83","334.74","337.93","359.26","328.11","302.15","360.33","323.16","264.80","267.15","242.53","204.98","145.53","119.05","97.54"
"Iceland","1096.92","942.42","1009.01","1098.34","1078.26","927.47","819.41","875.33","804.24","754.96","781.87","727.45","664.84","844.29","1042.99","905.22","964.42","840.40","718.47","566.97","489.16","548.57"
"India","47.03","40.37","39.24","37.65","37.82","43.49","42.97","42.76","42.68","34.55","33.95","32.70","27.97","28.46","27.67","22.94","21.54","19.88","17.45","15.99","15.54","14.14"
"Indonesia","61.92","59.07","60.79","56.98","58.92","58.01","58.21","66.45","72.77","77.73","81.64","65.17","39.84","38.03","35.20","29.99","23.90","16.44","16.05","12.37","10.13","10.47"
"Iran (Islamic Republic of)","174.76","164.28","210.12","265.79","251.86","246.10","195.94","186.23","251.14","337.27","345.75","295.00","230.84","187.03","147.29","115.18","109.07","90.02","70.78","64.11","58.15","50.42"
"Iraq","124.23","134.18","120.02","116.44","113.70","87.96","113.02","111.02","109.27","107.90","40.28","37.39","31.14","29.48","29.47","18.33","15.27","14.69","14.58","","",""
"Ireland","1528.92","1339.52","1406.72","1400.69","1353.82","1301.21","1290.73","1531.06","1551.64","1463.29","1549.14","1222.90","1261.72","1166.02","1008.98","919.61","832.22","734.37","618.19","462.27","393.22","351.86"
"Israel","1336.57","1132.82","1132.71","1093.06","1074.84","990.10","936.00","1000.70","943.61","867.20","882.14","804.46","763.18","794.45","675.50","564.74","575.08","519.01","493.07","459.89","534.89","508.72"
"Italy","821.94","737.12","764.19","784.89","737.96","691.10","684.02","775.17","763.42","744.51","779.75","693.30","724.12","782.28","696.19","630.26","602.76","609.49","533.54","441.36","402.65","417.06"
"Jamaica","102.16","98.02","113.76","111.31","105.22","99.74","100.89","101.39","99.38","104.30","106.41","103.15","92.31","129.94","121.29","94.92","94.51","85.69","76.24","71.89","95.59","84.24"
"Japan","664.13","671.73","715.73","695.90","654.83","670.39","597.67","654.59","685.86","841.30","830.35","736.35","691.88","607.30","521.88","544.23","545.23","569.67","531.71","464.97","474.46","539.38"
"Jordan","167.73","159.38","157.81","155.77","146.51","138.27","138.45","90.94","103.05","100.97","97.46","92.05","97.01","110.47","87.81","87.29","89.17","86.42","85.73","88.49","88.78","84.52"
"Kazakhstan","139.34","115.58","108.17","106.34","105.12","104.47","115.59","105.45","110.64","117.09","86.39","76.85","59.27","64.53","59.72","55.51","49.96","46.23","33.66","27.00","21.81","24.50"
"Kenya","31.09","28.96","30.56","26.28","24.03","30.44","29.73","31.16","29.65","28.01","24.48","24.89","23.76","24.48","22.91","19.20","17.06","15.04","14.30","12.39","12.77","12.54"
"Kiribati","7.39","6.73","5.70","6.16","5.61","5.89","5.68","5.88","5.27","7.07","5.69","5.38","4.85","3.97","2.95","2.50","3.54","2.97","2.90","2.00","1.66","2.17"
"Kuwait","191.47","164.53","194.79","195.51","194.57","187.75","187.08","194.32","190.50","197.83","177.50","165.96","188.93","234.34","207.73","183.73","173.12","154.42","145.30","135.00","117.88","117.94"
"Kyrgyzstan","29.65","29.29","29.16","31.07","43.91","41.54","44.05","53.23","48.74","43.16","34.54","26.18","23.06","30.54","21.36","17.59","15.02","12.45","11.26","7.58","6.97","6.33"
"Lao People's Democratic Republic","24.64","22.89","28.39","28.02","29.65","26.97","24.94","24.39","22.35","16.89","14.54","21.63","16.92","15.94","14.48","9.69","9.14","8.98","10.86","7.34","7.02","8.65"
"Latvia","579.53","477.95","471.79","441.91","397.90","386.27","320.57","345.51","322.74","295.61","279.10","274.31","296.91","361.52","303.01","212.44","193.90","170.59","140.73","119.65","105.11","89.42"
"Lebanon","186.45","237.08","370.07","388.99","341.29","326.48","296.43","297.73","319.85","333.40","359.62","337.27","300.66","277.41","255.60","234.79","213.59","229.47","246.17","262.90","280.23","298.95"
"Lesotho","16.59","16.07","17.29","19.37","18.60","14.77","16.71","17.60","18.70","21.61","22.55","22.59","15.71","14.99","15.59","14.68","14.15","12.88","10.35","8.77","10.87","9.44"
"Liberia","85.24","81.83","30.87","37.43","39.72","37.90","37.71","31.25","21.18","24.78","27.48","28.55","27.51","10.04","7.40","13.44","14.77","14.20","4.05","4.46","4.63","6.66"
"Libya","","","","","","","","","","","114.72","114.18","106.54","100.82","90.28","80.12","74.45","69.31","64.93","61.28","119.27","130.44"
"Lithuania","600.82","467.34","473.34","420.86","375.82","336.20","309.37","340.01","328.58","298.19","272.98","231.44","242.29","273.28","240.01","201.05","172.12","136.91","86.54","68.83","65.04","71.02"
"Luxembourg","910.67","773.69","796.15","851.03","790.59","779.86","765.02","938.83","932.95","894.73","1189.90","1050.18","1018.81","935.89","976.10","983.64","922.24","868.95","745.01","578.36","497.13","485.87"
"Madagascar","6.79","6.18","6.32","7.50","7.33","7.30","7.31","8.28","8.88","8.42","8.59","9.59","9.08","9.68","8.37","6.43","6.45","5.40","8.38","6.86","6.29","5.93"
"Malawi","9.25","9.46","7.21","6.70","6.63","7.40","6.30","5.07","5.47","4.37","5.52","5.21","7.13","6.73","5.34","3.83","2.27","2.07","2.32","2.01","1.65","1.78"
"Malaysia","213.22","193.74","203.75","202.93","178.89","173.16","173.48","188.14","176.17","171.28","160.46","133.80","108.82","123.18","108.17","92.19","82.59","75.26","68.18","59.23","56.83","59.72"
