"","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$"
"Countries, territories and areas"," 2021"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Czechia","2153.12","1853.10","1526.63","1482.13","1281.97","1161.87","1103.96","1270.06","1274.33","1277.40","1393.72","1281.23","1195.38","1173.89","930.24","805.54","726.68","653.80","560.46","438.38","339.77","304.19"
"Democratic Republic of the Congo","3.74","3.41","3.14","2.70","1.87","2.51","3.19","2.60","2.22","2.20","1.33","1.29","0.90","0.93","0.68","0.56","0.46","0.35","0.39","0.18","0.23","0.77"
"Denmark","6290.11","5460.29","5071.81","5219.89","4898.05","4734.65","4660.91","5460.88","5350.15","5204.01","5403.98","5200.32","5254.76","5156.95","4577.49","4008.07","3720.54","3504.78","3026.66","2426.85","2170.75","2074.40"
"Djibouti","29.47","31.42","30.07","31.86","30.44","33.84","41.14","39.52","37.99","37.63","39.79","31.17","30.12","28.64","23.87","22.00","16.74","16.44","16.43","13.64","13.26","14.84"
"Dominica","309.27","265.74","285.25","321.71","279.22","273.90","251.24","240.88","237.53","245.51","229.70","212.51","190.09","174.18","154.47","153.04","148.14","137.71","135.53","118.97","128.40","163.88"
"Dominican Republic","278.62","232.48","211.87","200.70","201.53","191.62","161.94","160.79","171.45","167.19","159.68","138.64","116.56","107.17","78.78","57.19","54.38","28.33","27.83","51.82","50.31","48.68"
"Ecuador","314.88","286.58","303.64","314.64","290.11","273.65","269.08","267.57","237.12","199.89","163.56","135.77","104.27","92.34","76.22","60.72","50.72","46.84","40.67","30.86","23.91","13.94"
"Egypt","67.70","48.18","40.98","34.22","33.45","44.84","54.21","46.74","41.73","40.99","40.17","35.37","35.47","31.76","26.51","24.51","19.69","16.78","16.47","22.60","24.08","25.00"
"El Salvador","291.41","229.56","201.81","188.38","182.68","187.60","180.88","170.56","169.34","154.62","158.60","131.93","118.63","121.21","115.54","119.86","103.42","91.33","85.47","84.34","78.63","77.99"
"Equatorial Guinea","50.90","53.60","47.30","54.44","49.69","55.80","54.27","79.14","75.38","98.33","75.56","67.63","85.01","59.35","39.97","29.13","19.57","11.56","9.53","4.35","4.42","5.40"
"Eritrea","5.38","4.96","4.45","3.75","5.65","4.74","4.46","4.03","4.63","5.50","4.96","5.19","4.34","4.55","4.23","2.66","2.56","4.84","4.24","4.70","4.24","4.69"
"Estonia","1595.23","1377.96","1189.42","1143.17","992.23","912.33","860.56","959.61","889.54","795.68","786.47","709.19","768.42","818.63","647.87","466.20","405.14","348.77","278.84","190.68","167.47","159.25"
"Eswatini","148.50","119.30","147.19","115.83","135.53","95.06","105.51","107.63","136.69","150.07","157.50","170.63","145.90","134.62","120.15","105.65","107.94","78.60","60.54","33.02","35.31","40.66"
"Ethiopia","8.08","8.10","5.93","5.53","6.11","6.17","5.94","3.88","5.27","4.77","1.27","2.83","3.00","1.59","3.14","2.14","2.76","1.78","2.68","2.29","2.37","2.19"
"Fiji","155.97","150.83","156.63","149.78","122.95","112.51","107.13","109.61","93.00","90.39","85.18","82.04","75.55","94.09","102.22","94.22","89.97","75.59","64.98","51.71","44.60","57.66"
"Finland","4500.41","3852.22","3576.68","3551.95","3304.57","3198.12","3243.41","3916.26","3887.41","3649.68","3734.72","3339.34","3437.58","3536.49","3080.91","2689.06","2518.54","2369.49","2020.87","1581.98","1379.83","1307.64"
"France","4068.94","3650.95","3385.54","3536.91","3342.37","3196.24","3039.79","3506.56","3437.01","3264.73","3462.45","3235.02","3348.53","3395.29","3065.91","2716.63","2593.61","2512.54","2183.64","1788.37","1595.38","1572.30"
"Gabon","137.45","126.94","125.62","123.78","122.76","135.15","111.00","140.37","168.63","138.63","162.90","132.15","113.68","103.40","99.13","82.34","68.41","74.55","67.81","47.70","48.56","45.21"
"Gambia","12.48","17.07","9.40","7.31","6.71","8.26","6.11","6.13","7.02","8.28","7.36","7.31","6.99","6.25","5.12","5.45","5.06","4.66","3.16","3.16","4.14","4.22"
"Georgia","222.60","155.67","125.94","130.96","113.12","117.65","104.70","101.89","84.32","67.81","55.39","61.71","58.85","52.04","29.27","23.99","20.05","15.57","11.72","9.64","9.07","6.05"
"Germany","5237.81","4660.09","4233.97","4258.19","3934.54","3669.84","3561.77","4089.14","3897.28","3595.15","3798.91","3490.36","3536.69","3515.13","3144.07","2782.28","2692.67","2625.78","2440.51","1998.07","1834.45","1833.34"
"Ghana","54.06","45.95","49.98","38.17","30.22","24.71","27.27","27.37","42.41","41.08","48.16","40.16","30.49","27.95","23.66","18.41","16.04","6.70","6.76","4.77","6.44","4.52"
"Greece","1092.91","904.10","765.07","836.24","787.54","777.80","854.24","967.12","1124.73","1239.16","1536.74","1766.96","1919.17","1855.84","1537.01","1264.76","1177.30","1045.12","937.71","706.64","635.11","545.56"
"Grenada","196.81","193.04","201.82","178.61","175.74","156.23","162.15","161.72","164.15","164.74","163.68","139.07","147.76","144.14","136.37","128.65","152.73","141.98","117.49","135.39","103.63","90.05"
"Guatemala","115.13","110.66","107.03","95.69","95.05","92.75","88.54","82.39","76.11","66.84","63.76","58.83","60.19","59.15","50.62","48.24","40.38","39.34","37.48","34.68","32.54","29.54"
"Guinea","8.19","8.29","9.61","5.83","5.07","4.79","3.25","4.74","3.70","3.52","3.29","2.42","1.74","1.92","1.58","1.12","1.29","1.35","2.29","3.00","1.67","1.46"
"Guinea-Bissau","9.51","9.05","3.46","4.08","3.90","3.29","3.46","3.88","3.61","3.20","3.14","2.81","3.03","3.51","3.10","2.24","2.36","2.51","1.81","1.29","1.58","1.89"
"Guyana","318.07","272.76","188.09","179.89","173.68","149.52","133.59","119.53","105.29","98.15","90.66","70.29","64.99","55.97","49.49","41.36","40.12","37.90","36.19","35.50","32.31","35.26"
"Haiti","7.07","5.56","5.11","7.57","6.52","6.59","7.54","6.72","6.85","6.15","5.48","9.92","9.21","8.92","8.13","2.41","4.43","4.09","2.70","3.17","5.28","6.58"
"Honduras","95.26","80.92","72.38","70.02","68.59","71.00","66.54","69.11","72.13","71.29","79.98","69.27","69.92","56.86","52.01","46.15","37.66","29.45","29.86","28.43","27.88","32.63"
"Hungary","997.81","826.54","720.34","747.90","674.39","619.01","590.08","671.32","655.89","623.21","704.17","655.00","641.53","756.87","680.09","628.40","628.06","555.92","477.88","327.59","240.65","215.56"
"Iceland","5619.45","4709.31","4856.22","5135.58","4866.71","4088.26","3450.53","3612.20","3264.32","3004.93","3128.71","2884.61","2955.99","3902.40","4757.06","4009.84","4111.95","3570.94","3118.63","2477.82","2037.74","2305.16"
"India","25.37","23.24","21.37","19.79","18.75","16.09","14.96","13.39","12.84","13.61","13.95","11.77","9.76","8.53","7.45","6.03","5.53","4.48","4.10","3.66","3.72","3.82"
"Indonesia","95.44","73.52","58.03","54.48","51.83","48.95","38.48","34.51","29.43","28.14","25.37","20.46","22.13","21.07","20.39","14.21","9.95","9.26","9.36","6.52","6.21","4.61"
"Iran (Islamic Republic of)","216.83","173.93","168.30","212.50","215.04","200.89","188.16","189.03","157.17","176.16","173.06","141.11","133.57","110.30","97.57","82.42","64.07","51.80","46.07","41.50","36.09","30.53"
"Iraq","122.82","110.55","118.28","113.42","81.42","110.19","34.34","66.25","75.81","64.95","119.39","105.49","106.61","106.88","63.16","34.55","35.17","35.84","12.09","","",""
"Ireland","5235.34","4758.75","4056.01","3786.37","3656.44","3425.10","3285.22","3785.21","3762.07","3747.07","3996.63","3910.55","4241.17","4472.76","3849.67","3227.52","3105.97","2748.79","2292.74","1738.09","1430.51","1212.98"
"Israel","2958.19","2480.23","2174.19","2082.01","1976.45","1773.63","1687.33","1777.88","1700.37","1508.92","1530.91","1407.04","1246.52","1304.47","1074.08","971.14","906.32","891.54","868.88","871.81","949.49","928.62"
"Italy","2527.66","2324.75","2146.45","2217.87","2071.76","2008.63","1991.65","2379.11","2385.82","2341.79","2612.27","2524.39","2613.63","2721.83","2396.37","2202.44","2074.80","1956.14","1629.49","1321.17","1184.01","1107.18"
"Jamaica","265.17","221.49","223.84","217.56","214.37","182.10","180.70","152.80","152.88","149.29","162.88","147.31","131.24","149.23","126.24","88.73","93.82","94.47","72.80","101.72","84.07","109.88"
"Japan","3683.21","3764.51","3747.54","3592.10","3493.54","3529.32","3157.25","3466.94","3671.82","4394.12","4276.55","3337.99","3006.88","2617.97","2261.38","2221.36","2349.98","2318.27","2122.04","1950.84","2018.00","2216.86"
"Jordan","106.41","111.10","126.35","124.40","129.74","127.85","162.35","197.81","197.50","220.88","228.21","213.36","223.92","175.48","124.41","102.38","101.59","73.17","80.24","83.15","78.40","72.53"
"Kazakhstan","263.27","222.61","161.84","165.84","172.38","154.93","198.48","268.50","251.97","251.73","210.44","164.18","186.72","186.72","117.35","118.46","92.40","64.50","40.81","31.06","28.50","25.45"
"Kenya","46.14","42.79","39.57","32.62","28.69","31.79","28.79","27.38","22.87","20.97","17.65","17.07","15.32","14.21","12.28","9.48","8.22","7.07","7.12","6.44","6.23","5.90"
"Kiribati","196.43","165.98","161.14","168.06","154.10","134.23","99.91","128.41","127.20","130.33","134.35","121.55","107.50","142.32","119.45","105.56","126.89","128.15","98.06","89.20","82.76","63.28"
"Kuwait","1669.32","1377.79","1448.78","1465.48","1166.92","1090.88","1048.54","1066.56","997.78","998.37","965.64","884.46","836.95","835.32","673.37","598.92","554.59","496.16","483.54","446.98","440.45","311.62"
"Kyrgyzstan","38.93","28.56","32.42","32.22","29.54","28.27","30.62","35.31","50.62","49.50","41.22","29.86","30.15","27.85","22.16","22.75","18.00","10.06","8.58","7.09","6.14","5.93"
"Lao People's Democratic Republic","18.05","20.06","25.05","22.19","21.68","17.66","18.36","13.57","12.94","6.84","5.13","7.17","11.85","4.97","4.49","4.22","4.72","3.65","4.31","3.56","4.48","4.07"
"Latvia","1315.85","833.20","708.18","657.77","533.07","488.53","455.29","511.25","484.39","449.90","485.50","414.72","444.18","551.10","471.77","339.86","245.52","220.93","139.78","117.65","99.91","92.15"
"Lebanon","88.63","232.12","385.57","347.95","319.15","304.41","263.35","273.79","257.62","258.99","282.91","230.74","191.38","183.23","181.35","165.72","134.26","137.35","127.15","129.20","136.56","127.20"
"Lesotho","47.21","44.96","63.02","65.42","65.79","55.00","63.12","69.98","72.60","69.93","63.79","45.57","43.31","38.80","41.63","27.57","19.86","23.32","18.78","12.59","15.45","13.41"
"Liberia","7.34","5.55","8.38","11.26","9.61","9.64","8.07","5.63","2.35","9.58","8.50","6.23","5.41","4.07","2.72","1.51","1.58","1.49","0.97","1.74","1.61","1.93"
"Libya","","","","","","","","","","","198.01","266.41","235.65","211.41","179.60","151.23","136.18","133.26","127.43","123.92","142.70","123.87"
"Lithuania","1248.67","1044.44","891.70","824.26","705.85","650.03","608.14","679.88","628.97","597.50","650.90","572.43","621.53","662.32","463.65","334.66","266.45","229.82","251.83","185.21","153.62","146.07"
"Luxembourg","6636.03","5928.15","5342.75","5288.11","4843.68","4623.00","4581.85","5516.72","5330.71","5042.71","5984.59","6409.66","6651.78","6642.86","5695.17","5087.10","4895.90","4741.40","3862.40","3022.51","2612.07","2415.33"
"Madagascar","3.71","3.19","3.50","7.71","11.31","11.02","9.07","9.04","6.87","7.51","8.67","8.58","5.95","7.38","8.15","6.26","6.03","6.04","7.80","5.42","5.99","5.27"
"Malawi","8.56","9.48","9.78","9.04","8.60","8.49","10.11","8.10","7.19","5.21","8.57","7.54","6.44","7.38","3.40","4.05","4.25","3.38","4.39","4.07","3.04","3.85"
"Malaysia","273.76","221.17","223.71","213.39","191.83","180.48","197.24","227.51","206.02","200.51","182.74","151.23","136.02","139.59","121.58","107.67","79.04","78.14","73.69","62.18","58.01","52.23"
